longitude,latitude,time2
degrees_east,degrees_north,
-5.048206,48.194423,0
-5.043667,48.191277,1
-5.039799,48.18716,2
-5.036276,48.18272,3
-5.031639,48.177491,4
-5.028615,48.172966,5
-5.025234,48.168476,6
-5.021402,48.163587,7
-5.018515,48.158009,8
-5.016232,48.152227,9
-5.014887,48.146106,10
-5.014068,48.139941,11
-5.013845,48.133761,12
-5.014247,48.127561,13
-4.993692,48.487085,14
-4.989534,48.490863,15
-4.984724,48.495256,16
-4.97941,48.4997,17
-4.97389,48.504298,18
-4.967892,48.508788,19
-4.961693,48.513156,20
-4.955352,48.517174,21
-4.949069,48.521255,22
-4.943668,48.524786,23
-4.939175,48.528063,24
-4.936082,48.531666,25
-4.996666,48.253708,26
-4.990602,48.257782,27
-4.984305,48.259087,28
-4.978955,48.258946,29
-4.973768,48.258714,30
-4.968521,48.258788,31
-4.963433,48.259442,32
-4.957812,48.260307,33
-4.951932,48.261243,34
-4.945943,48.261312,35
-4.939352,48.259684,36
-4.932239,48.256195,37
-4.925412,48.251115,38
-4.919741,48.245168,39
-4.914284,48.238439,40
-4.667329,48.0958,41
-4.667679,48.101218,42
-4.667496,48.106333,43
-4.666963,48.111597,44
-4.665927,48.116814,45
-4.664978,48.121738,46
-4.663476,48.126166,47
-4.661482,48.130264,48
-4.659836,48.134134,49
-4.658498,48.138529,50
-4.657313,48.143347,51
-4.656146,48.148428,52
-4.799632,48.32126,53
-4.800901,48.325903,54
-4.802371,48.327931,55
-4.80413,48.327155,56
-4.806409,48.323324,57
-4.809987,48.317179,58
-4.814949,48.312113,59
-4.670017,48.101761,60
-4.673794,48.105475,61
-4.67663,48.109614,62
-4.678314,48.11437,63
-4.679297,48.119321,64
-4.679247,48.124502,65
-4.677139,48.130038,66
-4.674513,48.1358,67
-4.671602,48.141512,68
-4.668723,48.147367,69
-4.665128,48.153375,70
