time,Speed
UTC,m.s-1
2021-09-26T00:00:00Z,0.034
2021-09-26T00:30:00Z,0.031
2021-09-26T01:00:00Z,0.051
2021-09-26T01:30:00Z,0.035
2021-09-26T02:00:00Z,0.042
2021-09-26T02:30:00Z,0.034
2021-09-26T03:00:00Z,0.029
2021-09-26T03:30:00Z,0.028
2021-09-26T04:00:00Z,0.022
2021-09-26T04:30:00Z,0.021
2021-09-26T05:00:00Z,0.017
2021-09-26T05:30:00Z,0.015
2021-09-26T06:00:00Z,0.001
2021-09-26T06:30:00Z,0.005
2021-09-26T07:00:00Z,0.005
2021-09-26T07:30:00Z,0.003
2021-09-26T08:00:00Z,0.008
2021-09-26T08:30:00Z,0.011
2021-09-26T09:00:00Z,0.01
2021-09-26T09:30:00Z,0.005
2021-09-26T10:00:00Z,0.016
2021-09-26T10:30:00Z,0.009
2021-09-26T11:00:00Z,0.031
2021-09-26T11:30:00Z,0.029
2021-09-26T12:00:00Z,0.04
2021-09-26T12:30:00Z,0.021
2021-09-26T13:00:00Z,0.03
2021-09-26T13:30:00Z,0.034
2021-09-26T14:00:00Z,0.042
2021-09-26T14:30:00Z,0.042
2021-09-26T15:00:00Z,0.028
2021-09-26T15:30:00Z,0.028
2021-09-26T16:00:00Z,0.046
2021-09-26T16:30:00Z,0.045
2021-09-26T17:00:00Z,0.048
2021-09-26T17:30:00Z,0.039
2021-09-26T18:00:00Z,0.04
2021-09-26T18:30:00Z,0.042
2021-09-26T19:00:00Z,0.043
2021-09-26T19:30:00Z,0.043
2021-09-26T20:00:00Z,0.041
2021-09-26T20:30:00Z,0.036
2021-09-26T21:00:00Z,0.03
2021-09-26T21:30:00Z,0.019
2021-09-26T22:00:00Z,0.017
2021-09-26T22:30:00Z,0.012
2021-09-26T23:00:00Z,0.012
2021-09-26T23:30:00Z,0.006
2021-09-27T00:00:00Z,0.009
2021-09-27T00:30:00Z,0.012
2021-09-27T01:00:00Z,0.011
2021-09-27T01:30:00Z,0.007
2021-09-27T02:00:00Z,0.006
2021-09-27T02:30:00Z,0.01
2021-09-27T03:00:00Z,0.005
2021-09-27T03:30:00Z,0.002
2021-09-27T04:00:00Z,0.006
2021-09-27T04:30:00Z,0.018
2021-09-27T05:00:00Z,0.021
2021-09-27T05:30:00Z,0.024
2021-09-27T06:00:00Z,0.021
2021-09-27T06:30:00Z,0.019
2021-09-27T07:00:00Z,0.035
2021-09-27T07:30:00Z,0.014
2021-09-27T08:00:00Z,0.018
2021-09-27T08:30:00Z,0.025
2021-09-27T09:00:00Z,0.036
2021-09-27T09:30:00Z,0.03
2021-09-27T10:00:00Z,0.029
2021-09-27T10:30:00Z,0.031
2021-09-27T11:00:00Z,0.036
2021-09-27T11:30:00Z,0.027
2021-09-27T12:00:00Z,0.019
2021-09-27T12:30:00Z,0.013
2021-09-27T13:00:00Z,0.016
2021-09-27T13:30:00Z,0.023
2021-09-27T14:00:00Z,0.017
2021-09-27T14:30:00Z,0.016
2021-09-27T15:00:00Z,0.021
2021-09-27T15:30:00Z,0.002
2021-09-27T16:00:00Z,0.008
2021-09-27T16:30:00Z,0.005
2021-09-27T17:00:00Z,0.015
2021-09-27T17:30:00Z,0.013
2021-09-27T18:00:00Z,0.009
2021-09-27T18:30:00Z,0.011
2021-09-27T19:00:00Z,0.012
2021-09-27T19:30:00Z,0.006
2021-09-27T20:00:00Z,0.002
2021-09-27T20:30:00Z,0.002
2021-09-27T21:00:00Z,0.007
2021-09-27T21:30:00Z,0.003
2021-09-27T22:00:00Z,0.007
2021-09-27T22:30:00Z,0.003
2021-09-27T23:00:00Z,0.011
2021-09-27T23:30:00Z,0.015
